
,,,,,,,Even Strength,Even Strength,Even Strength,Even Strength,,Power Play,Power Play,Power Play,Power Play,,Short Handed,Short Handed,Short Handed,Short Handed
Rk,Player,Tm,Pos,Shift,GP,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60
341,J.T. Miller\millejt01,TBL,C,0:46,75,,12:03,2.9,3.1,2.4,,2:34,-3.0,11.9,0.9,,0:02,13.9,0.0,0.0
342,Jaccob Slavin\slavija01,CAR,D,0:57,82,,18:50,-0.2,2.6,2.7,,1:48,-2.5,5.2,0.8,,2:23,0.8,1.5,6.4
343,Jack Eichel\eicheja01,BUF,C,0:48,77,,16:22,2.9,3.6,3.8,,3:31,2.5,8.0,1.8,,0:32,12.1,0.0,7.3
344,Jack Johnson\johnsja02,PIT,D,0:46,82,,16:40,-5.6,2.4,2.8,,0:19,-6.3,6.4,0.0,,2:16,-4.2,1.6,7.4
345,Jack Rodewald\rodewja01,OTT,RW,0:40,6,,7:03,-8.0,0.0,0.0,,0:00,,,,,0:00,,,
346,Jack Roslovic\rosloja01,WPG,C,0:42,77,,9:07,0.9,2.3,2.4,,0:36,3.3,10.1,1.3,,0:00,-11.1,0.0,0.0
347,Jacob de La Rose\delarja01,DET,LW,0:38,60,,9:55,-4.9,1.9,3.2,,0:04,2.1,0.0,0.0,,1:26,-4.8,0.0,5.5
348,Jacob Larsson\larssja01,ANA,D,0:55,49,,15:50,-0.1,2.0,2.3,,0:02,15.8,0.0,0.0,,1:14,4.5,0.0,6.9
349,Jacob MacDonald\macdoja02,FLA,D,0:45,2,,11:23,5.6,2.6,0.0,,0:40,12.5,0.0,0.0,,0:00,,,
350,Jacob Middleton\middlja01,SJS,D,0:47,3,,9:32,6.2,4.2,6.3,,0:00,,,,,0:23,,0.0,0.0
351,Jacob Nilsson\nilssja01,CHI,C,0:48,2,,6:52,-4.1,0.0,8.7,,0:00,,,,,0:59,-6.7,0.0,0.0
352,Jacob Trouba\troubja01,WPG,D,0:45,82,,18:21,0.7,3.2,3.1,,2:03,-1.4,9.3,0.4,,2:27,-2.2,1.5,7.1
353,Jaden Schwartz\schwaja01,STL,C,0:42,69,,15:17,4.0,2.5,2.6,,2:15,-1.9,5.4,1.2,,0:34,3.4,0.0,4.1
354,Jake Bean\beanja01,CAR,D,0:40,2,,8:18,-16.4,0.0,0.0,,0:09,,0.0,0.0,,0:00,,,
355,Jake Chelios\chelija01,DET,D,0:55,5,,16:28,-0.4,0.7,0.7,,0:00,,,,,0:44,12.8,0.0,0.0
356,Jake Debrusk\debruja01,BOS,LW,0:52,68,,13:16,4.3,2.9,2.3,,2:39,-0.9,10.3,2.0,,0:13,11.7,0.0,7.5
357,Jake Dotchin\dotchja01,ANA,D,0:43,20,,11:07,-5.3,1.3,2.7,,0:00,,,,,0:41,14.9,4.4,8.8
358,Jake Gardiner\gardija01,TOR,D,0:47,62,,19:13,1.9,3.4,2.3,,1:51,-6.8,4.9,2.0,,0:07,12.8,0.0,0.0
359,Jake Guentzel\guentja01,PIT,C,0:41,82,,16:43,4.7,3.8,3.0,,2:07,-3.5,7.1,2.3,,0:30,2.1,3.0,7.6
360,Jake McCabe\mccabja01,BUF,D,0:51,59,,16:41,-2.5,2.3,2.7,,0:06,-28.6,0.0,0.0,,2:08,-3.2,0.9,7.6
361,Jake Muzzin\muzzija01,TOT,D,0:48,80,,18:24,3.9,2.8,2.0,,1:10,-0.6,3.2,2.1,,1:45,-1.5,0.0,6.0
362,Jake Virtanen\virtaja01,VAN,RW,0:42,70,,13:33,-0.2,2.2,2.4,,1:14,5.1,4.2,0.0,,0:01,53.4,0.0,0.0
363,Jakob Chychrun\chychja01,ARI,D,0:44,53,,17:39,2.8,1.8,2.3,,2:32,6.4,8.1,2.2,,0:03,-16.3,0.0,0.0
364,Jakob Forsbacka Karlsson\forsbja01,BOS,C,0:50,28,,11:09,-3.1,1.9,1.5,,0:21,7.9,6.0,6.0,,0:16,-9.6,0.0,15.5
365,Jakob Silfverberg\silfvja01,ANA,LW,0:38,73,,13:16,-1.7,2.1,2.8,,2:06,5.9,7.3,0.4,,1:42,-1.2,1.5,8.7
366,Jakub Jerabek\jerabja01,STL,D,0:31,1,,7:25,-7.3,0.0,24.3,,0:02,,0.0,0.0,,0:25,75.0,0.0,0.0
367,Jakub Voracek\voracja01,PHI,RW,0:47,78,,15:22,1.2,3.3,3.8,,3:15,6.7,6.9,1.7,,0:01,5.8,0.0,5.7
368,Jakub Vrana\vranaja01,WSH,LW,0:44,82,,12:53,2.1,3.5,2.3,,1:08,-9.5,3.2,0.6,,0:00,,,
369,Jakub Zboril\zborija01,BOS,D,0:31,2,,10:54,15.4,0.0,0.0,,0:00,,,,,0:02,,,
370,James Neal\nealja01,CGY,LW,0:48,63,,12:44,-2.5,2.2,2.3,,2:12,2.0,4.3,1.3,,0:00,34.4,0.0,0.0
371,James van Riemsdyk\vanrija01,PHI,LW,0:49,66,,13:49,-0.3,3.3,3.6,,2:46,-4.1,7.3,2.0,,0:00,-14.7,0.0,0.0
372,Jamie Benn\bennja01,DAL,LW,0:47,78,,15:13,2.3,3.2,2.3,,2:37,0.9,7.9,0.6,,0:21,3.2,0.0,8.4
373,Jamie McGinn\mcginja01,FLA,LW,0:40,19,,9:38,-1.6,2.3,3.6,,1:01,-7.0,6.1,3.1,,0:00,,,
374,Jamie Oleksiak\oleksja01,TOT,D,0:41,57,,14:16,-4.1,3.3,2.5,,0:04,-35.9,0.0,13.3,,0:22,-1.9,0.0,4.0
375,Jan Rutta\ruttaja02,TOT,D,0:40,37,,14:27,4.4,3.7,2.4,,0:02,,0.0,0.0,,1:05,-12.5,0.0,10.2
376,Janne Kuokkanen\kuokkja01,CAR,C/LW,0:49,7,,8:34,-9.9,1.0,3.0,,2:14,-5.6,7.7,0.0,,0:06,,0.0,0.0
377,Jared McCann\mccanja01,TOT,C,0:47,78,,12:31,-1.4,2.5,2.0,,0:48,-6.8,0.0,0.0,,1:10,6.6,5.1,5.1
378,Jared Spurgeon\spurgja01,MIN,D,0:53,82,,19:22,1.0,2.7,2.7,,2:25,3.3,7.0,0.6,,2:20,0.1,0.3,7.9
379,Jaret Anderson-Dolan\anderja01,LAK,C,0:45,5,,9:49,-8.6,2.4,4.9,,1:47,5.4,0.0,0.0,,0:00,,,
380,Jason Demers\demerja01,ARI,D,0:53,35,,17:40,-0.5,2.1,1.6,,0:24,0.1,8.4,0.0,,1:54,-3.1,1.8,4.5
381,Jason Dickinson\dickija01,DAL,C,0:37,67,,11:48,-1.5,2.4,1.7,,0:06,0.3,0.0,0.0,,1:28,-2.2,0.0,5.5
382,Jason Garrison\garrija01,EDM,D,0:47,17,,10:36,-6.3,2.0,1.7,,1:05,-9.2,3.2,0.0,,0:59,7.9,0.0,10.7
383,Jason Pominville\pominja01,BUF,RW,0:42,73,,11:35,2.3,3.0,3.3,,0:52,-1.5,3.8,1.0,,0:00,-10.9,0.0,0.0
384,Jason Spezza\spezzja01,DAL,C,0:40,76,,11:02,3.0,1.8,2.7,,2:12,2.3,9.3,0.3,,0:01,-11.1,0.0,41.4
385,Jason Zucker\zuckeja01,MIN,LW,0:47,81,,14:39,3.4,2.1,2.6,,2:14,1.8,6.8,0.6,,0:10,15.9,4.2,0.0
386,Jay Beagle\beaglja01,VAN,RW/C,0:35,57,,10:56,-9.3,1.9,2.9,,0:02,13.8,0.0,0.0,,2:40,-0.4,0.8,6.7
387,Jay Bouwmeester\bouwmja01,STL,D,0:47,78,,18:28,-6.3,1.9,2.1,,0:03,-39.5,13.3,0.0,,2:11,-4.5,0.7,7.1
388,Jayce Hawryluk\hawryja01,FLA,C,0:33,42,,9:17,1.2,2.3,3.5,,0:08,-4.5,11.3,0.0,,0:00,,,
389,Jaycob Megna\megnaja02,ANA,D,0:41,28,,12:31,-1.5,2.1,2.2,,0:00,,0.0,0.0,,2:00,3.1,0.0,7.5
390,Jean-Gabriel Pageau\pageaje01,OTT,C,0:37,39,,14:56,0.0,1.6,2.8,,0:54,8.3,3.4,1.7,,1:59,-0.7,0.0,4.6
391,Jean-Sebastien Dea\deaje01,TOT,C,0:48,23,,9:16,-2.8,1.9,2.2,,0:21,-9.7,0.0,0.0,,0:37,-12.7,0.0,4.7
392,Jeff Carter\carteje01,LAK,C,0:51,76,,14:26,-1.0,2.0,2.9,,2:27,2.9,7.1,1.6,,1:15,6.7,1.1,9.0
393,Jeff Petry\petryje01,MTL,D,0:47,82,,18:29,2.3,3.3,3.5,,2:32,-3.7,4.6,0.6,,2:05,1.7,0.7,7.0
394,Jeff Skinner\skinnje01,BUF,C,0:56,82,,15:23,3.7,3.7,3.3,,3:05,2.0,7.2,1.7,,0:02,-11.6,0.0,24.8
395,Jeremy Lauzon\lauzoje01,BOS,D,0:37,16,,13:21,-2.4,0.8,1.1,,0:01,19.6,0.0,0.0,,2:08,9.4,0.0,8.7
396,Jesper Bratt\brattje01,NJD,W,0:50,51,,12:50,0.4,2.8,3.3,,2:10,-3.4,6.0,1.1,,0:10,-13.1,0.0,0.0
397,Jesper Fast\fastje01,NYR,RW,0:46,66,,13:52,1.2,2.4,2.6,,0:07,-17.0,0.0,0.0,,1:43,0.7,0.5,6.3
398,Jesperi Kotkaniemi\kotkaje01,MTL,C,0:33,79,,11:48,3.8,2.4,2.1,,1:55,-2.7,3.5,1.2,,0:00,-14.6,0.0,0.0
399,Jesse Puljujarvi\puljuje01,EDM,RW,0:41,46,,11:28,-2.7,1.6,3.1,,0:26,-2.0,5.8,2.9,,0:01,-14.6,0.0,0.0
400,Jimmy Schuldt\schulja01,VEG,D,0:57,1,,19:12,-9.3,6.2,9.4,,1:49,33.3,0.0,0.0,,0:02,,,
401,Jimmy Vesey\veseyji02,NYR,LW,0:42,81,,13:04,-0.2,2.5,2.9,,1:40,3.4,5.3,0.4,,1:17,2.9,0.6,9.2
402,Joakim Nordstrom\nordsjo02,BOS,C,0:47,70,,11:43,-4.2,1.9,1.9,,0:06,-16.2,0.0,0.0,,1:38,1.0,0.0,6.8
403,Joakim Ryan\ryanjo02,SJS,D,0:59,44,,12:29,-0.7,3.2,3.4,,0:02,,0.0,0.0,,0:15,52.2,4.3,4.3
404,Joe Hicketts\hickejo01,DET,D,0:49,11,,15:55,-9.0,0.7,3.8,,0:02,,0.0,0.0,,2:36,-0.1,0.0,12.5
405,Joe Pavelski\paveljo01,SJS,C,0:42,75,,15:22,0.7,3.1,3.1,,2:57,1.2,9.7,1.3,,0:42,-0.7,1.0,9.7
406,Joe Thornton\thornjo01,SJS,C,0:45,73,,13:38,3.6,3.3,2.5,,1:53,-1.4,9.5,1.7,,0:00,,0.0,0.0
407,Joel Armia\armiajo01,MTL,RW,0:45,57,,12:29,-1.3,2.4,2.4,,1:44,-3.5,6.0,0.6,,1:33,7.8,0.7,5.4
408,Joel Edmundson\edmunjo01,STL,D,0:38,64,,17:10,-1.5,2.7,2.4,,0:07,-1.7,0.0,0.0,,2:04,0.7,0.9,7.9
409,Joel Eriksson Ek\eriksjo02,MIN,C,0:41,58,,11:58,0.7,2.2,2.8,,0:09,-9.5,3.5,0.0,,1:22,-3.3,0.0,7.6
410,Joel Hanley\hanlejo01,DAL,D,0:41,16,,13:02,5.9,1.4,1.4,,0:10,-85.8,0.0,0.0,,0:28,13.2,0.0,7.8
411,Joel L'Esperance\lespejo01,DAL,RW,0:36,18,,10:57,-0.6,0.3,1.5,,1:17,6.7,5.2,0.0,,0:00,,,
412,Joey Anderson\anderjo08,NJD,RW,0:42,34,,11:25,1.6,1.7,3.0,,0:12,-18.8,0.0,0.0,,1:16,2.2,1.2,0.0
413,Johan Larsson\larssjo02,BUF,LW/C,0:45,73,,11:51,-0.9,1.9,2.5,,0:04,-4.8,0.0,0.0,,2:20,-3.8,0.3,7.0
414,John Carlson\carlsjo01,WSH,D,0:57,80,,18:24,3.4,4.3,3.5,,4:04,5.3,8.5,0.7,,2:34,2.4,0.9,6.4
415,John Gilmour\gilmojo01,NYR,D,0:46,5,,15:56,-14.7,0.8,3.0,,0:07,-87.8,0.0,0.0,,0:00,,0.0,0.0
416,John Hayden\haydejo01,CHI,C,0:46,54,,8:33,-3.3,1.6,3.1,,0:23,-0.2,5.6,0.0,,0:12,-6.8,0.0,19.3
417,John Klingberg\klingjo01,DAL,D,0:52,64,,20:47,5.9,2.6,2.2,,2:58,0.3,8.4,0.6,,0:45,-0.3,0.0,11.1
418,John Moore\moorejo01,BOS,D,0:46,61,,16:12,-5.0,2.1,2.3,,0:24,-4.8,7.2,2.4,,2:09,-9.3,1.8,5.5
419,John Quenneville\quennjo02,NJD,C,0:40,19,,10:17,-2.3,1.8,1.8,,1:00,-9.0,0.0,3.1,,0:00,,,
420,John Tavares\tavarjo01,TOR,C,0:42,82,,16:17,2.5,4.5,3.3,,2:35,6.9,9.3,1.6,,0:11,-1.8,0.0,14.9
421,Johnny Boychuk\boychjo01,NYI,D,0:53,74,,16:39,-2.7,2.6,2.3,,0:40,0.2,3.4,1.1,,1:30,0.2,1.6,9.7
422,Johnny Gaudreau\gaudrjo01,CGY,LW,0:44,82,,16:40,1.7,3.9,2.9,,3:20,0.8,9.2,0.9,,0:02,24.1,0.0,25.9
423,Jon Marchessault\audymjo01,VEG,C,1:10,82,,15:26,-1.0,3.3,3.2,,2:41,1.6,6.6,0.3,,0:01,31.9,0.0,0.0
424,Jonas Brodin\brodijo01,MIN,D,0:53,82,,18:09,0.1,1.8,2.4,,0:16,10.0,5.0,0.0,,2:06,-2.4,0.7,5.3
425,Jonas Siegenthaler\siegejo01,WSH,D,0:44,26,,13:05,-1.4,2.5,1.4,,0:00,,0.0,0.0,,1:03,1.4,0.0,6.6
426,Jonathan Drouin\drouijo01,MTL,LW,0:52,81,,14:00,-2.3,2.9,3.2,,2:51,0.0,5.7,0.8,,0:03,29.0,0.0,0.0
427,Jonathan Ericsson\ericsjo01,DET,D,0:43,52,,14:52,-4.9,1.8,2.8,,0:00,,0.0,0.0,,2:19,-0.7,1.5,7.0
428,Jonathan Huberdeau\huberjo01,FLA,C,0:52,82,,15:16,3.7,3.4,3.7,,3:24,2.7,10.3,1.9,,0:10,8.3,0.0,4.3
429,Jonathan Toews\toewsjo01,CHI,C,0:42,82,,16:00,2.5,3.7,3.6,,3:16,4.8,8.9,1.1,,1:44,1.6,1.7,12.2
430,Jonathon Merrill\merrijo01,VEG,D,0:42,57,,16:28,4.1,2.7,2.1,,0:10,-17.1,0.0,0.0,,1:13,15.8,5.2,5.2
431,Jonny Brodzinski\brodzjo01,LAK,C,0:40,13,,9:37,-3.3,2.4,2.4,,0:17,-8.5,15.7,0.0,,0:00,,,
432,Joonas Donskoi\donskjo01,SJS,RW,0:40,80,,12:47,-0.1,3.2,2.5,,0:35,-0.8,6.4,1.3,,0:02,33.7,0.0,8.7
433,Jordan Eberle\eberljo01,NYI,RW,0:53,78,,13:41,2.9,2.4,2.6,,2:48,3.3,6.2,0.0,,0:01,23.8,0.0,32.4
434,Jordan Greenway\greenjo02,MIN,LW,0:36,81,,12:56,-3.0,1.9,2.5,,0:39,-6.0,3.7,0.9,,0:01,31.2,0.0,0.0
435,Jordan Kyrou\kyroujo01,STL,C,0:49,16,,9:21,-10.1,1.6,2.0,,0:17,7.1,0.0,0.0,,0:00,,,
436,Jordan Martinook\martijo01,CAR,LW,0:38,82,,12:46,0.2,2.7,2.7,,0:05,12.8,0.0,0.0,,1:37,1.7,0.9,7.3
437,Jordan Nolan\nolanjo01,STL,C,0:30,14,,7:54,1.9,3.9,2.8,,0:01,,,,,0:00,,,
438,Jordan Oesterle\oestejo01,ARI,D,0:43,71,,16:04,-2.3,2.5,2.7,,1:46,-3.0,4.8,0.5,,1:02,-2.4,1.6,3.9
439,Jordan Schmaltz\schmajo01,STL,D,0:34,20,,11:01,-7.6,1.6,3.5,,0:03,-23.2,0.0,0.0,,0:24,6.5,0.0,7.5
440,Jordan Staal\staaljo01,CAR,C,0:47,50,,14:39,4.5,2.9,2.6,,1:49,1.6,4.6,0.0,,1:48,-1.9,1.3,6.6
441,Jordan Weal\wealjo01,TOT,C,0:50,63,,12:23,3.6,1.7,2.4,,1:03,-11.8,3.3,1.7,,0:00,,0.0,0.0
442,Jordie Benn\bennjo01,MTL,D,0:40,81,,15:23,-1.1,3.2,2.7,,0:01,-86.8,0.0,28.3,,2:46,-1.3,1.1,6.1
443,Jori Lehtera\lehtejo01,PHI,C,0:46,27,,7:31,-3.4,1.8,3.6,,0:04,,0.0,0.0,,1:30,-1.7,0.0,10.7
444,Joseph Blandisi\blandjo01,TOT,C,0:33,9,,7:13,-3.6,1.7,1.7,,0:01,,,,,0:11,,,
445,Joseph Gambardella\gambajo01,EDM,C,0:35,15,,8:05,-8.8,3.0,2.0,,0:00,,0.0,0.0,,0:00,,,
446,Joseph Morrow\morrojo02,WPG,D,0:47,41,,13:43,-5.4,3.1,3.2,,0:00,,0.0,0.0,,0:12,0.5,0.0,0.0
447,Josh Anderson\anderjo05,CBJ,RW,0:55,82,,14:18,-0.4,3.4,2.1,,1:22,2.4,6.4,1.1,,1:20,1.4,1.6,6.0
448,Josh Archibald\archijo01,ARI,RW,0:38,68,,11:54,-6.3,2.5,2.5,,0:03,-25.5,0.0,0.0,,1:36,-6.3,0.5,5.3
449,Josh Bailey\bailejo01,NYI,C,0:51,82,,14:20,0.7,2.9,2.6,,2:27,2.2,5.6,0.0,,0:02,23.7,20.9,0.0
450,Josh Brown\brownjo01,FLA,D,0:47,37,,12:27,0.5,1.6,2.0,,0:01,-35.3,0.0,0.0,,0:49,-1.6,0.0,5.8
451,Josh Currie\currijo01,EDM,RW,0:38,21,,8:39,-1.4,2.3,1.6,,0:03,15.2,0.0,0.0,,0:00,,,
452,Josh Leivo\leivojo01,TOT,LW,0:46,76,,11:44,1.9,1.8,1.5,,2:16,-5.6,4.8,0.0,,0:00,,,
453,Josh Mahura\mahurjo01,ANA,D,0:47,17,,13:20,-6.4,2.1,2.1,,0:52,-1.9,16.1,0.0,,0:05,-10.3,0.0,0.0
454,Josh Manson\mansojo01,ANA,D,0:41,74,,19:00,-1.8,2.1,2.6,,0:07,7.4,0.0,0.0,,3:10,0.9,1.0,6.7
455,Josh Morrissey\morrijo04,WPG,D,0:59,59,,17:50,0.8,3.3,2.9,,1:45,-1.4,8.7,0.6,,2:48,-2.2,1.4,8.0
456,Josh Teves\tevesjo01,VAN,D,0:48,1,,13:40,-13.4,0.0,4.4,,0:00,,,,,0:00,,,
457,Joshua Ho-Sang\hosanjo01,NYI,C/RW,0:45,10,,12:36,10.8,1.4,0.5,,1:55,-13.0,9.4,0.0,,0:00,,,
458,Joshua Jacobs\jacobjo01,NJD,D,0:47,1,,14:54,1.3,0.0,4.0,,0:00,,,,,0:00,,,
459,Juho Lammikko\lammiju01,FLA,RW,0:46,40,,9:07,-4.9,1.3,2.6,,0:04,-23.1,0.0,0.0,,1:43,4.2,0.9,6.9
460,Jujhar Khaira\khairju01,EDM,LW,0:45,60,,11:01,-1.9,2.0,3.1,,0:23,-10.4,2.5,7.6,,1:09,1.8,2.6,8.7
461,Julius Honka\honkaju01,DAL,D,0:39,29,,13:03,0.6,2.5,3.0,,0:25,-12.0,0.0,0.0,,0:14,-5.9,8.5,8.5
462,Justin Abdelkader\abdelju01,DET,LW,0:45,71,,12:54,-2.8,1.8,2.8,,0:37,-1.4,6.8,0.0,,1:52,-2.4,0.5,6.4
463,Justin Bailey\baileju01,PHI,RW,0:47,11,,5:44,-1.8,1.9,1.9,,0:00,,,,,0:00,,,
464,Justin Braun\braunju01,SJS,D,0:44,78,,17:54,-6.9,1.9,2.7,,0:06,-7.6,7.4,0.0,,2:17,-10.6,1.3,9.1
465,Justin Dowling\dowliju01,DAL,C,0:50,11,,11:40,2.8,0.9,2.8,,0:59,11.3,16.5,0.0,,0:00,,,
466,Justin Falk\falkju01,OTT,D,0:39,10,,11:47,-2.4,1.0,3.1,,0:00,,0.0,0.0,,1:07,4.4,0.0,0.0
467,Justin Faulk\faulkju01,CAR,D,0:45,82,,17:45,-2.1,2.9,2.4,,2:56,5.4,7.7,1.5,,1:43,-1.4,1.3,5.9
468,Justin Holl\hollju01,TOR,D,0:44,11,,12:27,-2.0,2.6,5.3,,0:02,,0.0,0.0,,0:00,,,
469,Justin Kloos\kloosju01,ANA,C,0:42,1,,7:04,37.7,0.0,0.0,,0:00,,,,,0:00,,,
470,Justin Schultz\schulju01,PIT,D,0:44,29,,17:56,-7.0,2.5,2.3,,2:24,1.4,11.2,1.7,,0:09,22.4,0.0,15.3
471,Justin Williams\williju01,CAR,RW,0:45,82,,14:43,4.8,2.9,2.7,,2:42,2.0,7.9,1.9,,0:01,-17.3,0.0,0.0
472,Juuso Riikola\riikoju01,PIT,D,0:42,37,,15:35,-3.3,2.3,2.0,,1:00,6.1,5.0,0.0,,0:04,53.9,0.0,0.0
473,Juuso Valimaki\valimju01,CGY,D,0:52,24,,14:02,-5.3,1.8,2.3,,0:08,-1.7,0.0,0.0,,1:18,0.5,1.9,9.6
474,Kailer Yamamoto\yamamka01,EDM,RW,0:47,17,,11:45,3.6,1.2,2.7,,0:54,-17.5,3.9,3.9,,0:24,0.0,0.0,8.8
475,Kalle Kossila\kossika01,ANA,LW,0:40,8,,8:19,-0.7,0.9,1.8,,0:07,9.9,0.0,0.0,,1:51,2.0,0.0,8.1
476,Karl Alzner\alzneka01,MTL,D,0:44,9,,15:08,-3.5,1.8,1.3,,0:02,15.6,0.0,0.0,,2:07,5.6,0.0,9.4
477,Karson Kuhlman\kuhlmka01,BOS,C,0:45,11,,11:24,6.9,4.3,1.9,,0:00,,,,,0:44,-7.1,0.0,14.8
478,Kasperi Kapanen\kapanka01,TOR,RW,0:43,78,,14:12,2.2,3.5,2.8,,0:47,-8.1,5.4,2.7,,1:36,1.8,1.4,6.2
479,Keith Yandle\yandlke01,FLA,D,0:52,82,,18:30,1.4,3.0,3.4,,3:33,2.2,10.7,1.6,,0:22,1.9,0.0,9.5
480,Kenny Agostino\agostke01,TOT,LW,0:34,63,,11:38,3.5,2.1,2.3,,1:13,-2.8,6.9,0.0,,0:03,-11.5,0.0,0.0
481,Kerby Rychel\rycheke01,CGY,LW,0:40,2,,8:55,-16.7,0.0,3.4,,0:15,23.8,120.0,0.0,,0:00,,,
482,Kevan Miller\milleke03,BOS,D,0:40,39,,15:54,-3.3,2.4,1.7,,0:03,20.3,0.0,0.0,,1:46,0.7,0.9,7.8
483,Kevin Connauton\connake01,ARI,D,0:47,50,,15:28,-5.2,2.1,2.8,,0:06,-21.2,0.0,0.0,,2:45,1.3,3.0,6.1
484,Kevin Fiala\fialake01,TOT,LW,0:46,83,,13:24,0.9,2.4,2.9,,2:13,1.0,4.8,1.9,,0:00,-15.1,0.0,0.0
485,Kevin Gravel\graveke01,EDM,D,0:35,36,,13:05,0.7,2.0,2.4,,0:00,11.4,0.0,0.0,,1:36,0.9,1.0,5.2
486,Kevin Hayes\hayeske01,TOT,RW,0:48,71,,14:21,7.4,2.8,2.9,,2:07,4.6,7.1,0.5,,1:46,7.8,1.8,5.9
487,Kevin Labanc\labanke01,SJS,RW,0:47,82,,11:41,1.8,3.2,3.0,,2:19,5.7,8.8,0.9,,0:00,-16.4,0.0,17.5
488,Kevin Rooney\rooneke01,NJD,C,0:37,41,,10:39,-2.0,2.1,2.8,,0:01,19.7,0.0,0.0,,1:54,-0.5,0.7,4.4
489,Kevin Roy\royke01,ANA,C,0:38,3,,12:51,15.0,0.0,1.6,,0:11,5.7,0.0,0.0,,0:00,,,
490,Kevin Shattenkirk\shattke01,NYR,D,0:45,73,,16:04,5.6,2.2,2.9,,2:25,3.6,4.1,0.7,,0:26,1.5,1.9,5.7
491,Kevin Stenlund\stenlke01,CBJ,C,0:45,4,,10:56,-0.3,0.0,0.0,,0:01,,,,,0:00,,,
492,Kiefer Sherwood\sherwki01,ANA,RW,0:46,50,,10:58,-1.5,2.3,2.2,,0:07,-4.5,0.0,0.0,,0:16,1.2,0.0,4.4
493,Kole Sherwood\sherwko01,CBJ,RW,0:46,2,,8:27,-12.4,3.6,0.0,,0:48,,0.0,0.0,,0:00,,,
494,Korbinian Holzer\holzeko01,ANA,D,0:43,22,,13:29,-1.9,3.2,2.4,,0:02,,0.0,0.0,,2:32,2.5,1.1,10.7
495,Kris Letang\letankr01,PIT,D,0:49,65,,20:33,6.8,3.7,2.8,,3:13,-4.8,8.6,3.0,,2:11,1.6,2.2,5.6
496,Kris Russell\russekr01,EDM,D,0:47,72,,18:15,-5.0,2.6,2.5,,0:13,9.6,0.0,0.0,,1:56,-5.3,1.3,11.5
497,Kristian Vesalainen\vesalkr01,WPG,W,1:00,5,,6:46,-1.4,1.8,1.8,,0:03,,0.0,0.0,,0:00,,,
498,Kurtis Gabriel\gabriku01,NJD,RW,0:33,22,,7:20,-8.0,2.2,2.2,,0:01,14.8,0.0,0.0,,0:00,,,
499,Kurtis MacDermid\macdeku01,LAK,D,0:51,11,,8:53,6.9,2.5,3.1,,0:02,,0.0,0.0,,0:24,-13.2,0.0,0.0
500,Kyle Brodziak\brodzky01,EDM,C,0:41,70,,9:54,-2.9,1.4,2.8,,0:06,1.0,0.0,0.0,,1:40,-3.2,1.0,8.7
501,Kyle Capobianco\capobky01,ARI,D,1:00,2,,14:27,-5.1,0.0,4.2,,1:37,13.3,0.0,0.0,,0:00,,,
502,Kyle Clifford\cliffky01,LAK,LW,0:42,72,,10:15,5.0,2.3,2.0,,0:12,5.9,3.9,0.0,,0:00,-13.3,0.0,9.8
503,Kyle Connor\connoky01,WPG,LW,0:52,82,,15:04,0.3,3.5,3.6,,3:29,3.7,9.7,0.8,,0:40,2.5,1.1,4.3
504,Kyle Okposo\okposky01,BUF,RW,0:45,78,,11:52,-2.0,2.2,2.7,,1:53,-0.2,6.5,0.8,,0:01,-11.1,0.0,0.0
505,Kyle Palmieri\palmiky01,NJD,RW,0:44,74,,14:33,2.2,3.2,3.2,,3:17,4.2,6.5,2.4,,0:17,-5.1,0.0,1.9
506,Kyle Rau\rauky01,MIN,C,0:43,6,,7:00,7.8,1.4,1.4,,0:00,,,,,0:00,,,
507,Kyle Turris\turriky01,NSH,C,0:59,55,,13:25,-1.3,2.2,2.4,,2:14,-2.7,3.9,1.5,,0:01,-16.5,0.0,0.0
508,Lars Eller\ellerla01,WSH,C,0:56,81,,12:54,3.2,3.0,3.2,,1:17,-2.6,2.9,0.6,,2:20,-1.1,1.3,7.0
509,Laurent Dauphin\dauphla01,ARI,C,0:43,1,,12:19,3.8,0.0,4.9,,0:00,,,,,0:00,,,
510,Lawrence Pilut\pilutla01,BUF,D,0:45,33,,16:30,2.5,2.3,3.2,,0:36,4.5,3.1,0.0,,0:18,-4.6,0.0,0.0
511,Lawson Crouse\crousla01,ARI,LW,0:32,81,,11:34,-5.3,2.2,2.2,,0:04,-9.0,0.0,0.0,,1:17,-0.7,2.2,5.6
512,Lee Stempniak\stemple01,BOS,RW,0:39,2,,7:49,-1.0,0.0,3.8,,0:00,,,,,0:00,,,
513,Leo Komarov\komarle01,NYI,C,0:42,82,,12:05,-4.7,2.8,1.8,,0:04,-20.5,0.0,0.0,,1:44,1.6,0.4,3.8
514,Leon Draisaitl\draisle01,EDM,C,0:57,82,,18:05,1.5,3.8,3.6,,3:20,6.8,9.6,1.1,,1:09,9.2,1.9,8.9
515,Lias Andersson\anderli01,NYR,C,0:34,42,,10:00,-3.1,1.3,3.3,,0:03,,0.0,0.0,,0:39,1.5,2.2,2.2
516,Libor Hajek\hajekli01,NYR,D,0:45,5,,15:29,9.0,2.3,1.6,,0:08,,0.0,0.0,,0:54,4.8,0.0,0.0
